Phrase,SoundsLike,IPA,DisplayAs,Notes
V.-R.-based-application,,viː ɑːr beɪst ˌæplɪˈkeɪʃən,VR-Based Application,"Virtual Reality-based application"
V.-R.-based-device,,viː ɑːr beɪst dɪˈvaɪs,VR-Based Device,"Virtual Reality-based device"
V.-R.-based-experience,,viː ɑːr beɪst ɪkˈspɪərɪəns,VR-Based Experience,"Virtual Reality-based experience"
V.-R.-based-game,,viː ɑːr beɪst ɡeɪm,VR-Based Game,"Virtual Reality-based game"
V.-R.-based-headset,,viː ɑːr beɪst ˈhɛdˌsɛt,VR-Based Headset,"Virtual Reality-based headset"
V.-R.-based-platform,,viː ɑːr beɪst ˈplætfɔːm,VR-Based Platform,"Virtual Reality-based platform"
V.-R.-based-simulation,,viː ɑːr beɪst sɪmjʊˈleɪʃən,VR-Based Simulation,"Virtual Reality-based simulation"
V.-R.-based-system,,viː ɑːr beɪst ˈsɪstəm,VR-Based System,"Virtual Reality-based system"
V.-R.-based-tool,,viː ɑːr beɪst tuːl,VR-Based Tool,"Virtual Reality-based tool"
V.-R.-device,,viː ɑːr dɪˈvaɪs,VR Device,"Virtual Reality device"
V.-R.-experience,,viː ɑːr ɪkˈspɪərɪəns,VR Experience,"Virtual Reality experience"
V.-R.-game,,viː ɑːr ɡeɪm,VR Game,"Virtual Reality game"
V.-R.-headset,,viː ɑːr ˈhɛdˌsɛt,VR Headset,"Virtual Reality headset"
V.-R.-platform,,viː ɑːr ˈplætfɔːm,VR Platform,"Virtual Reality platform"
V.-R.-simulation,,viː ɑːr sɪmjʊˈleɪʃən,VR Simulation,"Virtual Reality simulation"
V.-R.-system,,viː ɑːr ˈsɪstəm,VR System,"Virtual Reality system"
V.-R.-tool,,viː ɑːr tuːl,VR Tool,"Virtual Reality tool"
V.-S.,,viː ɛs,V.S.,"Version System"
V.R.-training, ,viː ɑːr treɪnɪŋ, VR-Training, "Using Virtual Reality for training and education"
W.-A.-F.,,dʌbəl juː eɪ ɛf,W.A.F.,"Web Application Firewall"
W.-A.-L.,,dʌbəl juː eɪ ɛl,W.A.L.,"Web Application Lifecycle"
W.-A.-P.,,dʌbəl juː eɪ piː,W.A.P.,"Wireless Access Point"
W.-B.-E.,,dʌbəl juː biː iː,W.B.E.,"Web-Based Enterprise"
W.-C.-A.,,dʌbəl juː siː eɪ,W.C.A.,"Windows Communication Foundation"
W.-E.-B.,,dʌbəl juː iː biː,W.E.B.,"Worldwide Electronic Bank"
W.-G.-W.,,dʌbəl juː dʒiː wɔː,W.G.W.,"Wireless Gateway"
W.-L.-A.-N.,,dʌbəl juː ɛl æn,W.L.A.N.,"Wireless Local Area Network"
W.-O.-R.-K.,,dʌbəl juː oʊr k,W.O.R.K.,"Web Oriented Resource Kit"
W.-S.,,dʌbəl juː ɛs,W.S.,"Web Service"
W.-W.-W.-dot-amazon-dot-com,,ˈdʌbəljuː ˈdʌbəljuː ˈdʌbəljuː dɒt ˈæməzɒn dɒt kɒm,www.amazon.com,"Amazon's website URL"
W.-W.-W.-dot-amazon-dot-com-website,,ˈdʌbəljuː ˈdʌbəljuː ˈdʌbəljuː dɒt ˈæməzɒn dɒt kɒm ˈwɛbsaɪt,www.amazon.com Website,"Amazon's website URL"
W.E.B.-three, ,dʌbəljuː iː biː θriː, Web3, "Next-generation web technology"
X.-A.-A.-S.,,zæs,XaaS,"Anything as a Service"
X.-A.-A.-S.-service,,zæs ˈsɜːvɪs,XaaS Service,"Anything as a Service"
X.-A.-C.-M.-L.,,ɛks eɪ siː ɛm ɛl,X.A.C.M.L.,"XML Access Control Markup Language"
X.-M.-L.,,ɛks ɛm ɛl,X.M.L.,"Extensible Markup Language"
X.-R.,,ɛks ɑːr,XR,"Extended Reality"
X.-R.,,ɛks ɑːr,XR,"Extended Reality"
X.-R.-application,,ɛks ɑːr ˌæplɪˈkeɪʃən,XR Application,"Extended Reality application"
X.-R.-based-application,,ɛks ɑːr beɪst ˌæplɪˈkeɪʃən,XR-Based Application,"Extended Reality-based application"
X.-R.-based-device,,ɛks ɑːr beɪst dɪˈvaɪs,XR-Based Device,"Extended Reality-based device"
X.-R.-based-experience,,ɛks ɑːr beɪst ɪkˈspɪərɪəns,XR-Based Experience,"Extended Reality-based experience"
X.-R.-based-game,,ɛks ɑːr beɪst ɡeɪm,XR-Based Game,"Extended Reality-based game"
X.-R.-based-headset,,ɛks ɑːr beɪst ˈhɛdˌsɛt,XR-Based Headset,"Extended Reality-based headset"
X.-R.-based-platform,,ɛks ɑːr beɪst ˈplætfɔːm,XR-Based Platform,"Extended Reality-based platform"
X.-R.-based-simulation,,ɛks ɑːr beɪst sɪmjʊˈleɪʃən,XR-Based Simulation,"Extended Reality-based simulation"
X.-R.-based-system,,ɛks ɑːr beɪst ˈsɪstəm,XR-Based System,"Extended Reality-based system"
X.-R.-based-tool,,ɛks ɑːr beɪst tuːl,XR-Based Tool,"Extended Reality-based tool"
X.-R.-device,,ɛks ɑːr dɪˈvaɪs,XR Device,"Extended Reality device"
X.-R.-experience,,ɛks ɑːr ɪkˈspɪərɪəns,XR Experience,"Extended Reality experience"
X.-R.-game,,ɛks ɑːr ɡeɪm,XR Game,"Extended Reality game"
X.-R.-headset,,ɛks ɑːr ˈhɛdˌsɛt,XR Headset,"Extended Reality headset"
X.-R.-platform,,ɛks ɑːr ˈplætfɔːm,XR Platform,"Extended Reality platform"
X.-R.-simulation,,ɛks ɑːr sɪmjʊˈleɪʃən,XR Simulation,"Extended Reality simulation"
X.-R.-system,,ɛks ɑːr ˈsɪstəm,XR System,"Extended Reality system"
X.-R.-tool,,ɛks ɑːr tuːl,XR Tool,"Extended Reality tool"
X.-S.-R.-F.,,ɛks ɛs ɑːr ɛf,XSRF,"Cross-Site Request Forgery"
X.-S.-R.-F.,,ɛks ɛs ɑːr ɛf,XSRF,"Cross-Site Request Forgery"
X.A.S.S., ,zæs, XaaS, "Anything as a Service (extension of SaaS, PaaS, IaaS)"
Y.-A.-R.-N.,,waɪ ɑːr ɛn,Y.A.R.N.,"Yet Another Resource Negotiator"
Z.-K.-E.,,ziː keɪ iː,Z.K.E.,"Zero Knowledge Encryption"
Z.-O.-O.,,ziː oʊ oʊ,Z.O.O.,"Zero Outage Operations"
Z.-R.-T.,,ziː ɑːr tiː,Z.R.T.,"Zero Round-Trip Time"
Z.T.N.A., ,ziː tiː ɛn eɪ, ZTNA, "Zero Trust Network Access"
amazon-E.-C.-two,,ˈæməzɒn iː siː tuː,Amazon EC2,"Amazon Elastic Compute Cloud"
amazon-E.-C.-two-instance,,ˈæməzɒn iː siː tuː ˈɪnstəns,Amazon EC2 Instance,"Amazon Elastic Compute Cloud instance"
amazon-E.-C.-two-management,,ˈæməzɒn iː siː tuː ˈmænɪdʒmənt,Amazon EC2 Management,"Amazon Elastic Compute Cloud management"
amazon-E.-C.-two-service,,ˈæməzɒn iː siː tuː ˈsɜːvɪs,Amazon EC2 Service,"Amazon Elastic Compute Cloud service"
amazon-E.-C.-two-tool,,ˈæməzɒn iː siː tuː tuːl,Amazon EC2 Tool,"Amazon Elastic Compute Cloud tool"
amazon-S.-three,,ˈæməzɒn ɛs θriː,Amazon S3,"Amazon Simple Storage Service"
amazon-S.-three-bucket,,ˈæməzɒn ɛs θriː ˈbʌkɪt,Amazon S3 Bucket,"Amazon Simple Storage Service bucket"
amazon-S.-three-management,,ˈæməzɒn ɛs θriː ˈmænɪdʒmənt,Amazon S3 Management,"Amazon Simple Storage Service management"
amazon-S.-three-service,,ˈæməzɒn ɛs θriː ˈsɜːvɪs,Amazon S3 Service,"Amazon Simple Storage Service"
amazon-S.-three-tool,,ˈæməzɒn ɛs θriː tuːl,Amazon S3 Tool,"Amazon Simple Storage Service tool"
amazon-elasticache,,ˈæməzɒn ɪˈlæstɪkæʃ,Amazon ElastiCache,"Amazon's in-memory data store and cache service"
amazon-elasticache-cluster,,ˈæməzɒn ɪˈlæstɪkæʃ ˈklʌstər,Amazon ElastiCache Cluster,"Amazon's in-memory data store and cache service cluster"
amazon-elasticache-management,,ˈæməzɒn ɪˈlæstɪkæʃ ˈmænɪdʒmənt,Amazon ElastiCache Management,"Amazon's in-memory data store and cache service management"
amazon-elasticache-node,,ˈæməzɒn ɪˈlæstɪkæʃ noʊd,Amazon ElastiCache Node,"Amazon's in-memory data store and cache service node"
amazon-elasticache-service,,ˈæməzɒn ɪˈlæstɪkæʃ ˈsɜːvɪs,Amazon ElastiCache Service,"Amazon's in-memory data store and cache service"
amazon-elasticache-tool,,ˈæməzɒn ɪˈlæstɪkæʃ tuːl,Amazon ElastiCache Tool,"Amazon's in-memory data store and cache service tool"
amazon-sagemaker,,ˈæməzɒn seɪdʒ ˈmeɪkər,Amazon SageMaker,"Amazon's machine learning platform"
amazon-sagemaker-model,,ˈæməzɒn seɪdʒ ˈmeɪkər ˈmɒdəl,Amazon SageMaker Model,"Amazon's machine learning platform model"
amazon-sagemaker-pipeline,,ˈæməzɒn seɪdʒ ˈmeɪkər ˈpaɪplaɪn,Amazon SageMaker Pipeline,"Amazon's machine learning platform pipeline"
amazon-sagemaker-service,,ˈæməzɒn seɪdʒ ˈmeɪkər ˈsɜːvɪs,Amazon SageMaker Service,"Amazon's machine learning platform service"
amazon-sagemaker-tool,,ˈæməzɒn seɪdʒ ˈmeɪkər tuːl,Amazon SageMaker Tool,"Amazon's machine learning platform tool"
ay-jacks,,ˈeɪdʒæks,AJAX,"Asynchronous JavaScript and XML"
ay-jacks-request,,ˈeɪdʒæks rɪˈkwɛst,AJAX Request,"Asynchronous JavaScript and XML request"
ay-jacks-response,,ˈeɪdʒæks rɪˈspɒns,AJAX Response,"Asynchronous JavaScript and XML response"
ay-jacks-tool,,ˈeɪdʒæks tuːl,AJAX Tool,"Asynchronous JavaScript and XML tool"
blockchain-based,,ˈblɒktʃeɪn beɪst,Blockchain-Based,"Using blockchain technology"
blockchain-based-application,,ˈblɒktʃeɪn beɪst ˌæplɪˈkeɪʃən,Blockchain-Based Application,"Application using blockchain technology"
blockchain-based-platform,,ˈblɒktʃeɪn beɪst ˈplætfɔːm,Blockchain-Based Platform,"Platform using blockchain technology"
blockchain-based-service,,ˈblɒktʃeɪn beɪst ˈsɜːvɪs,Blockchain-Based Service,"Service using blockchain technology"
blockchain-based-tool,,ˈblɒktʃeɪn beɪst tuːl,Blockchain-Based Tool,"Tool using blockchain technology"
brain-computer,,breɪn kəmˈpjuːtər,Brain-Computer,"Brain-to-device communication systems"
brain-computer-interface,,breɪn kəmˈpjuːtər ˈɪntəfeɪs,Brain-Computer Interface,"Interface between the brain and a computer"
brain-computer-interface-device,,breɪn kəmˈpjuːtər ˈɪntəfeɪs dɪˈvaɪs,Brain-Computer Interface Device,"Device for brain-computer interface"
brain-computer-interface-system,,breɪn kəmˈpjuːtər ˈɪntəfeɪs ˈsɪstəm,Brain-Computer Interface System,"System for brain-computer interface"
brain-computer-interface-technology,,breɪn kəmˈpjuːtər ˈɪntəfeɪs tɛkˈnɒlədʒi,Brain-Computer Interface Technology,"Technology for brain-computer interface"
computing-based,,kəmˈpjuːtɪŋ beɪst,Computing-Based,"Using computational methods"
computing-based,,kəmˈpjuːtɪŋ beɪst,Computing-Based,"Using computational methods"
computing-based-application,,kəmˈpjuːtɪŋ beɪst ˌæplɪˈkeɪʃən,Computing-Based Application,"Application using computational methods"
computing-based-platform,,kəmˈpjuːtɪŋ beɪst ˈplætfɔːm,Computing-Based Platform,"Platform using computational methods"
computing-based-service,,kəmˈpjuːtɪŋ beɪst ˈsɜːvɪs,Computing-Based Service,"Service using computational methods"
computing-based-tool,,kəmˈpjuːtɪŋ beɪst tuːl,Computing-Based Tool,"Tool using computational methods"
context-aware,,ˈkɒntɛkst əˈweər,Context-Aware,"Responsive to environment"
context-aware-application,,ˈkɒntɛkst əˈweər ˌæplɪˈkeɪʃən,Context-Aware Application,"Application responsive to environment"
context-aware-platform,,ˈkɒntɛkst əˈweər ˈplætfɔːm,Context-Aware Platform,"Platform responsive to environment"
context-aware-service,,ˈkɒntɛkst əˈweər ˈsɜːvɪs,Context-Aware Service,"Service responsive to environment"
context-aware-tool,,ˈkɒntɛkst əˈweər tuːl,Context-Aware Tool,"Tool responsive to environment"
cores,,kɔːz,CORS,"Cross-Origin Resource Sharing"
cores-policy,,kɔːz ˈpɒləsi,CORS Policy,"Cross-Origin Resource Sharing policy"
cores-request,,kɔːz rɪˈkwɛst,CORS Request,"Cross-Origin Resource Sharing request"
cores-response,,kɔːz rɪˈspɒns,CORS Response,"Cross-Origin Resource Sharing response"
cores-tool,,kɔːz tuːl,CORS Tool,"Cross-Origin Resource Sharing tool"
cross-platform,,krɒs ˈplætfɔːm,Cross-Platform,"Works on multiple platforms"
cross-platform-application,,krɒs ˈplætfɔːm ˌæplɪˈkeɪʃən,Cross-Platform Application,"Application that works on multiple platforms"
cross-platform-framework,,krɒs ˈplætfɔːm ˈfreɪmwɜːrk,Cross-Platform Framework,"Framework that works on multiple platforms"
cross-platform-service,,krɒs ˈplætfɔːm ˈsɜːvɪs,Cross-Platform Service,"Service that works on multiple platforms"
cross-platform-tool,,krɒs ˈplætfɔːm tuːl,Cross-Platform Tool,"Tool that works on multiple platforms"
crud,,krʌd,CRUD,"Create, Read, Update, Delete"
crud-operation,,krʌd ˌɒpəˈreɪʃən,CRUD Operation,"Create, Read, Update, Delete operation"
crud-service,,krʌd ˈsɜːvɪs,CRUD Service,"Create, Read, Update, Delete service"
crud-tool,,krʌd tuːl,CRUD Tool,"Create, Read, Update, Delete tool"
cube-control,,kjuːb kənˈtrəʊl,kubectl,"Kubernetes command-line tool"
cube-control-command,,kjuːb kənˈtrəʊl kəˈmænd,kubectl Command,"Kubernetes command-line tool command"
cube-control-tool,,kjuːb kənˈtrəʊl tuːl,kubectl Tool,"Kubernetes command-line tool"
decision-making,,dɪˈsɪʒən ˈmeɪkɪŋ,Decision-Making,"Process of making choices"
decision-making-process,,dɪˈsɪʒən ˈmeɪkɪŋ ˈprɒsɛs,Decision-Making Process,"Process of making choices"
decision-making-tool,,dɪˈsɪʒən ˈmeɪkɪŋ tuːl,Decision-Making Tool,"Tool for making choices"
devops,,dɛv ɒps,DevOps,"Development and Operations"
devops-pipeline,,dɛv ɒps ˈpaɪplaɪn,DevOps Pipeline,"Pipeline for Development and Operations"
devops-tool,,dɛv ɒps tuːl,DevOps Tool,"Tool for Development and Operations"
docker,,ˈdɒkər,Docker,"Containerization platform"
docker-container,,ˈdɒkər kənˈteɪnər,Docker Container,"Containerization platform container"
docker-image,,ˈdɒkər ˈɪmɪdʒ,Docker Image,"Containerization platform image"
docker-tool,,ˈdɒkər tuːl,Docker Tool,"Containerization platform tool"
dot-net,,dɒt nɛt,.NET,"Microsoft's software development platform"
dot-net-application,,dɒt nɛt ˌæplɪˈkeɪʃən,.NET Application,"Microsoft's software development platform application"
dot-net-framework,,dɒt nɛt ˈfreɪmwɜːrk,.NET Framework,"Microsoft's software development platform framework"
dot-net-service,,dɒt nɛt ˈsɜːvɪs,.NET Service,"Microsoft's software development platform service"
dot-net-tool,,dɒt nɛt tuːl,.NET Tool,"Microsoft's software development platform tool"
dry,,draɪ,DRY,"Don't Repeat Yourself"
dry-principle,,draɪ ˈprɪnsɪpəl,DRY Principle,"Don't Repeat Yourself principle"
dynamo-D.-B.,,daɪˈnæmoʊ diː biː,DynamoDB,"Amazon's NoSQL database service"
dynamo-D.-B.-table,,daɪˈnæmoʊ diː biː ˈteɪbəl,DynamoDB Table,"Amazon's NoSQL database service table"
dynamo-D.-B.-tool,,daɪˈnæmoʊ diː biː tuːl,DynamoDB Tool,"Amazon's NoSQL database service tool"
e-commerce,,iː ˈkɒmɜːs,E-Commerce,"Electronic Commerce"
e-commerce-platform,,iː ˈkɒmɜːs ˈplætfɔːm,E-Commerce Platform,"Electronic Commerce platform"
e-commerce-service,,iː ˈkɒmɜːs ˈsɜːvɪs,E-Commerce Service,"Electronic Commerce service"
e-commerce-tool,,iː ˈkɒmɜːs tuːl,E-Commerce Tool,"Electronic Commerce tool"
eco-friendly,,ˈiːkəʊ ˈfrɛndli,Eco-Friendly,"Environmentally friendly"
eco-friendly-product,,ˈiːkəʊ ˈfrɛndli ˈprɒdʌkt,Eco-Friendly Product,"Environmentally friendly product"
eco-friendly-service,,ˈiːkəʊ ˈfrɛndli ˈsɜːvɪs,Eco-Friendly Service,"Environmentally friendly service"
eco-friendly-tool,,ˈiːkəʊ ˈfrɛndli tuːl,Eco-Friendly Tool,"Environmentally friendly tool"
elk,,ɛlk,ELK,"Elasticsearch, Logstash, Kibana"
elk-stack,,ɛlk stæk,ELK Stack,"Elasticsearch, Logstash, Kibana stack"
elk-tool,,ɛlk tuːl,ELK Tool,"Elasticsearch, Logstash, Kibana tool"
end-to-end,,ɛnd tuː ɛnd,End-to-End,"Complete process flow"
end-to-end-application,,ɛnd tuː ɛnd ˌæplɪˈkeɪʃən,End-to-End Application,"Complete process flow application"
end-to-end-platform,,ɛnd tuː ɛnd ˈplætfɔːm,End-to-End Platform,"Complete process flow platform"
end-to-end-service,,ɛnd tuː ɛnd ˈsɜːvɪs,End-to-End Service,"Complete process flow service"
end-to-end-tool,,ɛnd tuː ɛnd tuːl,End-to-End Tool,"Complete process flow tool"
engine-X-server,,ˈɛndʒɪn ɛks ˈsɜːvər,NGINX Server,"Web server software server"
engine-X-tool,,ˈɛndʒɪn ɛks tuːl,NGINX Tool,"Web server software tool"
engine-X.,,ˈɛndʒɪn ɛks,NGINX,"Web server software"
event-driven,,ɪˈvɛnt ˈdrɪvən,Event-Driven,"Responds to events"
event-driven-application,,ɪˈvɛnt ˈdrɪvən ˌæplɪˈkeɪʃən,Event-Driven Application,"Application that responds to events"
event-driven-platform,,ɪˈvɛnt ˈdrɪvən ˈplætfɔːm,Event-Driven Platform,"Platform that responds to events"
event-driven-service,,ɪˈvɛnt ˈdrɪvən ˈsɜːvɪs,Event-Driven Service,"Service that responds to events"
event-driven-tool,,ɪˈvɛnt ˈdrɪvən tuːl,Event-Driven Tool,"Tool that responds to events"
git-hub,,ɡɪt hʌb,GitHub,"Version control platform"
git-hub-repository,,ɡɪt hʌb rɪˈpɒzɪtəri,GitHub Repository,"Version control platform repository"
git-hub-tool,,ɡɪt hʌb tuːl,GitHub Tool,"Version control platform tool"
git-lab,,ɡɪt læb,GitLab,"DevOps platform"
git-lab-repository,,ɡɪt læb rɪˈpɒzɪtəri,GitLab Repository,"DevOps platform repository"
git-lab-tool,,ɡɪt læb tuːl,GitLab Tool,"DevOps platform tool"
graph-Q.-L.,,ɡræf kjuː ɛl,GraphQL,"Query language for APIs"
graph-Q.-L.-query,,ɡræf kjuː ɛl ˈkwɪəri,GraphQL Query,"Query language for APIs query"
graph-Q.-L.-service,,ɡræf kjuː ɛl ˈsɜːvɪs,GraphQL Service,"Query language for APIs service"
graph-Q.-L.-tool,,ɡræf kjuː ɛl tuːl,GraphQL Tool,"Query language for APIs tool"
hands-on,,hændz ɒn,Hands-On,"Practical approach"
hands-on-training,,hændz ɒn ˈtreɪnɪŋ,Hands-On Training,"Practical approach training"
high-performance,,haɪ pərˈfɔːməns,High-Performance,"Superior performance"
high-performance-application,,haɪ pərˈfɔːməns ˌæplɪˈkeɪʃən,High-Performance Application,"Application with superior performance"
high-performance-platform,,haɪ pərˈfɔːməns ˈplætfɔːm,High-Performance Platform,"Platform with superior performance"
high-performance-service,,haɪ pərˈfɔːməns ˈsɜːvɪs,High-Performance Service,"Service with superior performance"
high-performance-tool,,haɪ pərˈfɔːməns tuːl,High-Performance Tool,"Tool with superior performance"
high-speed,,haɪ spiːd,High-Speed,"Fast operation"
high-speed-application,,haɪ spiːd ˌæplɪˈkeɪʃən,High-Speed Application,"Application with fast operation"
high-speed-platform,,haɪ spiːd ˈplætfɔːm,High-Speed Platform,"Platform with fast operation"
high-speed-service,,haɪ spiːd ˈsɜːvɪs,High-Speed Service,"Service with fast operation"
high-speed-tool,,haɪ spiːd tuːl,High-Speed Tool,"Tool with fast operation"
iaas,,aɪ æs,IaaS,"Infrastructure as a Service"
iaas-platform,,aɪ æs ˈplætfɔːm,IaaS Platform,"Infrastructure as a Service platform"
iaas-service,,aɪ æs ˈsɜːvɪs,IaaS Service,"Infrastructure as a Service service"
iaas-tool,,aɪ æs tuːl,IaaS Tool,"Infrastructure as a Service tool"
jason,,ˈdʒeɪsən,JSON,"JavaScript Object Notation"
jason-data-structure,,ˈdʒeɪsən ˈdeɪtə ˈstrʌktʃər,JSON Data Structure,"JavaScript Object Notation data structure"
jason-schema-validator,,ˈdʒeɪsən ˈskiːmə vælɪˈdeɪtər,JSON Schema Validator,"JavaScript Object Notation schema validator"
jason-tool,,ˈdʒeɪsən tuːl,JSON Tool,"JavaScript Object Notation tool"
jot,,dʒɒt,JWT,"JSON Web Token"
jot-token,,dʒɒt ˈtoʊkən,JWT Token,"JSON Web Token"
jot-tool,,dʒɒt tuːl,JWT Tool,"JSON Web Token tool"
kiss,,kɪs,KISS,"Keep It Simple, Stupid"
kiss-principle,,kɪs ˈprɪnsɪpəl,KISS Principle,"Keep It Simple, Stupid principle"
kubernetes,,kuːbərˈnɛtiːz,Kubernetes,"Container orchestration system"
kubernetes-cluster,,kuːbərˈnɛtiːz ˈklʌstər,Kubernetes Cluster,"Container orchestration system cluster"
kubernetes-deployment,,kuːbərˈnɛtiːz dɪˈplɔɪmənt,Kubernetes Deployment,"Container orchestration system deployment"
kubernetes-pod,,kuːbərˈnɛtiːz pɒd,Kubernetes Pod,"Container orchestration system pod"
kubernetes-service,,kuːbərˈnɛtiːz ˈsɜːvɪs,Kubernetes Service,"Container orchestration system service"
kubernetes-tool,,kuːbərˈnɛtiːz tuːl,Kubernetes Tool,"Container orchestration system tool"
lamp,,læmp,LAMP,"Linux, Apache, MySQL, PHP"
lamp-stack,,læmp stæk,LAMP Stack,"Linux, Apache, MySQL, PHP stack"
laravel,,ˈlærəvɛl,Laravel,"PHP web framework"
laravel-application,,ˈlærəvɛl ˌæplɪˈkeɪʃən,Laravel Application,"PHP web framework application"
laravel-framework,,ˈlærəvɛl ˈfreɪmwɜːrk,Laravel Framework,"PHP web framework"
laravel-tool,,ˈlærəvɛl tuːl,Laravel Tool,"PHP web framework tool"
large-scale,,lɑːdʒ skeɪl,Large-Scale,"Extensive in scope"
large-scale-application,,lɑːdʒ skeɪl ˌæplɪˈkeɪʃən,Large-Scale Application,"Application extensive in scope"
large-scale-platform,,lɑːdʒ skeɪl ˈplætfɔːm,Large-Scale Platform,"Platform extensive in scope"
large-scale-service,,lɑːdʒ skeɪl ˈsɜːvɪs,Large-Scale Service,"Service extensive in scope"
large-scale-tool,,lɑːdʒ skeɪl tuːl,Large-Scale Tool,"Tool extensive in scope"
lemp,,lɛmp,LEMP,"Linux, Nginx, MySQL, PHP"
lemp-stack,,lɛmp stæk,LEMP Stack,"Linux, Nginx, MySQL, PHP stack"
long-term,,lɒŋ tɜːm,Long-Term,"Extended time period"
long-term,,lɒŋ tɜːm,Long-Term,"Extended time period"
long-term-goal,,lɒŋ tɜːm ɡoʊl,Long-Term Goal,"Goal with an extended time period"
long-term-plan,,lɒŋ tɜːm plæn,Long-Term Plan,"Plan with an extended time period"
long-term-strategy,,lɒŋ tɜːm ˈstrætədʒi,Long-Term Strategy,"Strategy with an extended time period"
low-latency,,ləʊ ˈleɪtənsi,Low-Latency,"Minimal delay"
low-latency-application,,ləʊ ˈleɪtənsi ˌæplɪˈkeɪʃən,Low-Latency Application,"Application with minimal delay"
mean,,miːn,MEAN,"MongoDB, Express, Angular, Node.js"
mern,,mɜːn,MERN,"MongoDB, Express, React, Node.js"
near-real-time,,nɪər riəl taɪm,Near-Real-Time,"Minimal processing delay"
nice-D.-C.-V.,,naɪs diː siː viː,NICE DCV,"Remote display protocol"
no-sequel,,nəʊ ˈsiːkwəl,NoSQL,"Not Only SQL"
non-invasive,,nɒn ɪnˈveɪsɪv,Non-Invasive,"Without physical intrusion"
on-premises,,ɒn ˈprɛmɪsɪz,On-Premises,"Locally installed software/hardware"
opt-in,,ɒpt ɪn,Opt-In,"Choosing to participate"
pass,,pæs,PaaS,"Platform as a Service"
paws,,pɔːz,PaaS,"Platform as a Service"
peer-to-peer,,pɪər tə pɪər,Peer-to-Peer,"Direct communication between parties"
problem-solving,,ˈprɒbləm ˈsɒlvɪŋ,Problem-Solving,"Finding solutions"
real-time,,riəl taɪm,Real-Time,"Immediate processing"
real-world,,riəl wɜːld,Real-World,"Practical experiences"
reg-X.,,rɛdʒ ɛks,Regex,"Regular Expression"
repel,,rɪˈpɛl,REPL,"Read-Eval-Print Loop"
restful,,ˈrɛstfʊl,RESTful,"Conforming to REST architecture"
sass,,sæs,SaaS,"Software as a Service"
sea-quill,,siː kwɪl,SQL,"Structured Query Language"
sea-surf,,siː sɜːf,CSRF,"Cross-Site Request Forgery"
sequel,,ˈsiːkwəl,SQL,"Structured Query Language"
skill-building,,skɪl ˈbɪldɪŋ,Skill-Building,"Improving abilities"
soap,,səʊp,SOAP,"Simple Object Access Protocol"
spa,,spɑː,SPA,"Single Page Application"
tamper-proof,,ˈtæmpə pruːf,Tamper-Proof,"Resistant to unauthorized access"
thought-based,,θɔːt beɪst,Thought-Based,"Controlled by brain activity"
time-travel,,taɪm ˈtrævəl,Time-Travel,"Accessing past data states"
up-to-date,,ʌp tə deɪt,Up-to-Date,"Current information"
view-J.-S.,,vjuː dʒeɪ ɛs,View.js,"JavaScript framework"
well-being,,wɛl ˈbiːɪŋ,Well-Being,"State of being healthy and happy"
windows,,ˈwɪndəʊz,Windows,"Microsoft operating system"
wizzy-wig,,ˈwɪzi wɪɡ,WYSIWYG,"What You See Is What You Get"
work-life,,wɜːk laɪf,Work-Life,"Balance between work and personal life"
yag-nee,,jæɡ niː,YAGNI,"You Ain't Gonna Need It"
yam-ul,,jæm əl,YAML,"YAML Ain't Markup Language"
yo-low,,jəʊ ləʊ,YOLO,"You Only Live Once"
zero-trust,,ˈzɪərəʊ trʌst,Zero Trust,"Security concept"

